x0, x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, y
-317, -458, -59, -143, 155, -198, 357, 783, 849, -803, -309, -777, 861, 241, -348, 312, -553, -625, 658, -305, -725, 439, -175, 144, -483, -625, 177, 152, 652, 762, -1315645
-431, -575, 697, -105, 293, 666, -232, 499, 567, 166, 595, 265, 434, 613, 61, 86, -74, -892, 413, -187, 597, 651, 829, -632, 939, 325, 846, -915, -770, -422, 250918
-18, 34, -194, -43, 812, 750, 714, -357, -561, 459, 564, -640, -450, -84, -793, 450, -980, -159, -157, -831, 219, 703, -616, 234, 59, 544, 335, 393, -502, -892, -1272711
-480, -200, -216, 186, -944, 301, 870, 283, 864, 642, 936, -540, 383, -828, 172, -394, 584, -13, 135, -603, 316, -35, 622, -544, -63, -466, -15, 411, 709, -355, 2125082
871, 942, 721, -783, 752, 788, 852, -956, -20, 379, 733, 879, 515, -353, -559, -921, 38, -203, 114, -964, 548, 658, -270, 722, 549, 441, -715, 214, -222, 374, 3999465
-592, -44, -937, 600, 837, -90, -170, 584, 478, 944, 646, -862, -19, -77, 7, -766, 300, -591, 161, -166, -159, 690, -935, -691, -422, -584, -834, 222, -179, -639, -2563319
866, 695, 508, 782, -275, 416, 336, -618, 686, -345, -454, -687, -209, -678, 13, -788, 2, -855, 680, -320, 376, -992, -881, -254, -99, -355, 414, -835, 899, -768, -2198395
-443, 895, 104, 941, -718, -275, -188, 675, 953, 377, -35, -636, -594, -37, 660, 807, -968, 928, 859, -981, 397, -68, 585, -316, 995, -134, 523, 682, -81, 663, 1058222
-597, 62, -877, 982, -595, 572, 134, -231, -13, 988, 430, 523, -243, -565, 424, -771, 104, -112, 238, 66, -717, -17, -89, 166, -971, 915, 434, 504, -113, -770, -1078090
-366, -569, -940, 912, 145, 909, -662, 0, -250, 621, 731, -20, 806, -516, -192, -627, -255, 716, 932, 1, 773, 449, 547, -844, -613, 409, -829, -901, -165, 85, -85838
-586, -425, -550, 383, 334, -143, -147, 881, 815, -861, -143, -775, 21, 816, 161, -378, -828, -445, -319, -787, 995, -337, -7, 47, -693, -264, 8, 920, 93, 580, -2874653
-959, 272, 713, 259, -602, -787, -581, -611, 774, -524, 572, -982, 306, 764, 243, 530, -825, -782, 520, -813, -160, 880, -190, -609, -749, 55, 768, -290, 226, 765, -3063063
314, 355, 604, 953, 929, -860, 1000, -570, 524, -169, -476, 495, 870, -413, -126, 23, 479, -1, -430, 454, 183, 416, 47, -832, -890, 232, -498, 0, 148, 651, 154176
688, 263, -409, 259, -389, 226, -812, -65, 107, 263, -743, 498, -551, 80, -744, 636, -98, 267, -860, -170, 195, -45, -365, -73, 525, -806, -144, -26, -449, 237, 1054212
574, -798, -717, 775, -890, 288, 758, 335, 721, 738, 107, -997, -80, 854, 37, -557, -608, -106, 709, 955, -558, -77, -89, -816, -726, 671, 384, -186, -685, 414, -2062515
-17, -704, 132, -75, -774, -463, -6, -413, -28, 155, -738, -259, -572, 81, -863, -994, 835, 199, -599, 437, -709, -224, 708, -879, 655, 95, -658, -268, 124, -679, -2009162
580, -707, -949, -218, 604, 694, -644, -161, 892, -164, -161, 446, -663, 623, 845, 454, -835, -902, -782, -335, 846, 864, 322, -338, 919, -732, 145, -726, -932, 14, -609777
954, 576, -405, -141, -262, 321, 33, 712, -489, 580, 243, 200, 865, -562, -66, -357, -816, 544, -37, -588, 416, -951, 240, 426, 474, -735, -792, -597, 626, 342, 3509369
721, -346, 166, 642, 985, -12, -765, -190, 575, -702, -881, -982, 122, -969, -532, 202, 495, -174, 350, 116, 877, -914, -213, 361, -393, -522, 870, 26, 390, 670, -1557571
-871, -137, 770, 58, 929, -248, -300, -531, 696, 21, -456, -436, -441, -980, 834, -574, -581, 813, -394, -431, 805, -513, -993, 651, -955, -811, -633, 336, 554, -7, -1200644
-51, -465, 191, -525, 39, 552, -420, 733, -449, 577, 346, 936, 332, -958, -925, 810, -996, -248, 219, 291, -505, 993, 749, 581, 227, 875, -687, -991, 857, 187, 1450223
-707, -962, -945, -765, -32, 607, -902, -91, -137, -31, -908, 269, -893, 827, -304, 833, -809, 0, 984, -34, 567, 283, 410, 164, -370, -765, 52, -534, 990, 981, -1957621
-557, -536, -60, 603, -455, -192, 382, -558, 15, 306, 331, -478, -964, -651, 199, 262, 948, -730, 973, -682, 384, 13, 373, 356, -831, 977, 416, 969, 98, -731, -775007
-847, -27, -457, 696, 359, -187, -506, -1000, -903, -236, 666, 699, -110, 306, 816, -773, 829, 127, -653, 457, -475, 80, -769, -160, -108, 259, 829, 309, -895, -971, -2350463
726, -177, -659, 865, 838, -91, -240, 755, -405, 612, -214, -299, -563, -770, 746, -659, -418, -818, -959, 418, 958, -199, 115, -930, -279, 360, 102, 124, 246, -136, -2036964
-856, 459, 804, 12, -566, -448, 789, -203, -50, -374, 292, 949, -919, -924, -755, -40, -654, -950, 941, 586, 967, -555, -484, -754, 624, 496, 512, 602, -945, -858, -819230
